SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,CORE,EAST,WEST,CARIBBEAN,PACIFIC,WOODLAND,MANUAL_START,MANUAL_END,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,CWD_DECAY_RATIO1,CWD_DECAY_RATIO2,CWD_DECAY_RATIO3,CWD_DECAY_RATIO4,CWD_DECAY_RATIO5,DWM_CARBON_RATIO,STANDING_DEAD_DECAY_RATIO1,STANDING_DEAD_DECAY_RATIO2,STANDING_DEAD_DECAY_RATIO3,STANDING_DEAD_DECAY_RATIO4,STANDING_DEAD_DECAY_RATIO5,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DRYWT_TO_GREENWT_CONVERSION
920.0,willow spp.,Salix,spp.,,,SALIX,43,47,54,,3,37,123,X,X,X,,X,,H,,,,,,N,E,W,C,,,1.7,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,23,0.5,23,99.0,23,127.0,23,0.39,23,16.0,32,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:20,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.2190909090909092
921.0,peachleaf willow,Salix,amygdaloides,,,SAAM2,43,47,,,3,25,123,X,X,,,X,,H,,,,,,N,E,W,,,,1.7,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,99.0,24,127.0,24,0.39,24,16.0,24,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:20,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.2190909090909092
922.0,black willow,Salix,nigra,,,SANI,41,47,,,3,25,123,X,X,X,,X,,H,,,,,,N,E,W,,,,1.7,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,1,0.5,6,98.72,11,127.02778,5,0.39,1,16.0,21,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:20,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.218809109090909
923.0,Bebb willow,Salix,bebbiana,,,SABE2,43,47,,,3,25,123,X,X,,,X,,H,,,,,,N,E,W,,,,2.0,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,99.0,24,127.0,24,0.39,24,16.0,24,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:23,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.2190909090909092
924.0,Bonpland willow,Salix,bonplandiana,,,SABO,41,47,,,3,25,123,,,,,X,,H,,,,,,N,,W,,,,2.0,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,99.0,24,127.0,24,0.39,24,16.0,24,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:23,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.2190909090909092
925.0,coastal plain willow,Salix,caroliniana,,,SACA5,43,47,,,3,25,123,X,X,,,X,,H,,,,,,Y,E,,,,,2.0,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,99.0,24,127.0,24,0.39,24,16.0,24,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:23,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.2190909090909092
926.0,balsam willow,Salix,pyrifolia,,,SAPY,43,47,,,3,25,123,X,X,X,,,,H,,,,,,Y,E,,,,,2.0,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,99.0,24,127.0,24,0.39,24,16.0,24,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:23,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.2190909090909092
927.0,white willow,Salix,alba,,,SAAL2,41,47,,,3,25,123,X,X,,,X,,H,,,,,,N,E,W,,,,1.7,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,99.0,24,127.0,24,0.39,24,16.0,24,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:20,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.2190909090909092
928.0,Scouler's willow,Salix,scouleriana,,,SASC,41,47,,,3,25,123,X,,X,,,,H,,,,,,N,,W,,,,2.0,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,99.0,24,127.0,24,0.39,24,16.0,24,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 09:40:23,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,2.2190909090909092
929.0,weeping willow,Salix,x sepulcralis,,,SASE10,41,47,,,3,25,123,X,X,,,X,,H,,,,,,Y,E,,,,,2.0,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,99.0,24,127.0,24,0.39,24,16.0,24,0.09658,0.91882,0.08593,1.0,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2005-02-24 00:00:00,333,FS_NIMS_PNWRS,2020-06-11 00:00:00,67572,2.2190909090909092
